City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Barrow,71.2906,-156.7887,33.82,86,90,16.11,US,1632029214
Yellowknife,62.456,-114.3525,43.32,81,75,13.8,CA,1632029107
Agropoli,40.3469,14.9966,71.44,78,9,3.74,IT,1632029216
Mataura,-46.1927,168.8643,50.49,77,100,1.99,NZ,1632029218
Tahoua,14.8888,5.2692,78.78,83,0,4.61,NE,1632029219
Bredasdorp,-34.5322,20.0403,49.32,93,2,4.61,ZA,1632029221
Basco,20.4487,121.9702,84.97,76,31,10.85,PH,1632029223
Fortuna,40.5982,-124.1573,60.42,74,75,0.0,US,1632029224
Rikitea,-23.1203,-134.9692,72.3,78,14,6.33,PF,1632029225
Zeulenroda,50.65,11.9833,52.61,87,77,4.88,DE,1632029227
Avarua,-21.2078,-159.775,75.25,73,75,13.8,CK,1632029229
Albany,42.6001,-73.9662,61.66,90,74,4.34,US,1632029231
Itarema,-2.9248,-39.9167,77.9,78,9,17.13,BR,1632029232
New Norfolk,-42.7826,147.0587,62.1,65,85,7.0,AU,1632029234
Kavieng,-2.5744,150.7967,84.36,72,25,12.57,PG,1632029235
Bahía Blanca,-38.7196,-62.2724,54.45,88,35,1.5,AR,1632029161
Port Alfred,-33.5906,26.891,59.7,77,86,20.15,ZA,1632029238
Umeå,63.8284,20.2597,41.92,93,0,3.44,SE,1632029151
Balsas,-7.5325,-46.0356,77.49,36,6,4.25,BR,1632029203
Jamestown,42.097,-79.2353,58.64,89,1,1.01,US,1632029241
Chigorodó,7.6664,-76.6811,73.65,99,90,3.56,CO,1632029243
Torbay,47.6666,-52.7314,60.28,84,75,10.36,CA,1632029244
Terney,45.0503,136.6092,67.5,33,42,5.26,RU,1632029246
Punta Arenas,-53.15,-70.9167,39.31,86,18,5.88,CL,1632029247
Salalah,17.0151,54.0924,86.09,74,75,6.91,OM,1632029198
George Town,5.4112,100.3354,85.95,71,20,1.01,MY,1632029106
Castro,-24.7911,-50.0119,61.99,91,29,2.55,BR,1632029251
Geraldton,-28.7667,114.6,73.81,43,5,14.97,AU,1632029023
East London,-33.0153,27.9116,59.94,72,0,12.66,ZA,1632029253
Hithadhoo,-0.6,73.0833,83.48,71,81,5.23,MV,1632029255
Kamaishi,39.2667,141.8833,81.55,65,41,5.53,JP,1632029078
Qaryat Sulūq,31.6682,20.2521,77.54,35,0,6.58,LY,1632029257
Saint Paul Harbor,57.79,-152.4072,46.54,69,0,2.48,US,1632029258
São João da Barra,-21.6403,-41.0511,72.36,90,9,6.26,BR,1632029260
Coffs Harbour,-30.3,153.1333,73.67,63,13,12.66,AU,1632029262
Lavrentiya,65.5833,-171.0,35.08,91,100,9.8,RU,1632029263
Ushuaia,-54.8,-68.3,35.26,93,20,6.91,AR,1632029180
Butaritari,3.0707,172.7902,82.85,69,63,15.9,KI,1632029266
Puerto del Rosario,28.5004,-13.8627,73.15,78,20,16.11,ES,1632029127
Mahébourg,-20.4081,57.7,76.24,73,75,12.66,MU,1632029269
Novo Lino,-8.915,-35.6467,69.33,94,26,1.43,BR,1632029271
